District ,Mandal,Muncipality,WardName,female,male,transgender
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.6,126,52,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.7,46,20,1
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.8,186,79,
KARIMNAGAR,HUZURABAD,Huzurabad,Revenue Ward No.9,171,61,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  1,424,251,2
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  10,351,135,1
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  11,297,117,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  12,248,65,1
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  13,250,86,1
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  14,318,141,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  15,297,91,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  16,434,139,3
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  17,200,69,3
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  18,686,439,5
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  19,191,72,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  2,404,197,1
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  20,374,159,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  21,185,47,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  22,144,36,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  23,197,82,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  24,386,159,5
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  25,296,141,2
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  26,369,137,1
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  27,518,254,1
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  28,341,191,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  29,485,286,2
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  3,381,169,1
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  30,561,319,2
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  31,427,210,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  32,353,187,1
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  4,142,47,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  5,430,199,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  6,332,160,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  7,227,91,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  8,157,41,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No  9,469,216,2
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No 33,118,56,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No 34,242,112,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No 35,277,126,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No 36,175,74,
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No 37,386,273,4
KARIMNAGAR,JAGTIAL,Jagityal,Revenue Ward No 38,497,274,
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Abadi Jammikunta Akulawada,34,18,
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Abadi Jammikunta Bolla Wada,61,26,1
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Abadi Jammikunta Bus Stasnd Area,71,31,
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Abadi Jammikunta SCColony,137,92,
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Abadi Jammikunta Shivalayam,49,27,
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Employees Colony,423,192,2
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Ganeshnagar,176,82,2
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Girls High School Area,108,43,
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Housing Board Colony,517,276,2
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Keshavapoor,203,135,1
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Konduru Wari Veedi,96,31,
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Main Road,419,196,2
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Mothukulagudem,658,370,2
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Mothukulagudem Ponaganti Wada,18,9,1
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Mothukulagudem S C Colony,142,102,1
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Nagarapanchayath Area,52,28,1
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Padmashali Wada,355,191,1
KARIMNAGAR,JAMMIKUNTA,Jammikunta,Veg-table Market Area,19,10,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 31,43,16,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 32,74,34,1
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 33,334,121,2
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 34,175,60,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 35,31,13,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 36,61,23,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 37,23,9,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 38,37,23,1
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 40,2,1,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 41,48,18,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 42,184,77,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 43,387,214,2
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 44,50,15,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 45,5,3,1
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 46,25,4,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 47,1,,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 48,94,34,
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 49,545,211,1
KARIMNAGAR,KARIMNAGAR,Karimnagar, Ward 50,258,116,2
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 13,70,26,
KARIMNAGAR,KARIMNAGAR,Karimnagar,Revenue Ward 14,64,24,
